ID,Thông điệp,Ý nghĩa,Cơ chế game
59,Hiện tại là món quà duy nhất mà vũ trụ trao cho con.,Đó là lý do người ta gọi hiện tại là Present (Món quà).,Vật phẩm Hằng ngày: Mỗi ngày đăng nhập nhận được một 'Món quà Hiện tại' ngẫu nhiên.
60,Tập trung trọn vẹn vào việc con đang làm.,"Khi ăn hãy ăn, khi làm hãy làm, đó là thiền định.",Bonus Chuyên tâm: Làm một công việc không bị gián đoạn giúp tăng 50% hiệu suất.
61,Mỗi giây phút trôi qua đều không bao giờ lặp lại.,Hãy trân trọng từng khoảnh khắc gặp gỡ trong đời.,Thoại Độc bản: Mỗi cuộc hội thoại với NPC chỉ diễn ra một lần duy nhất.
62,"Sự bình an không nằm ở nơi chốn, mà nằm ở tâm trí tĩnh lặng.",Con có thể tìm thấy sự tĩnh lặng ngay giữa đám đông náo nhiệt.,Kỹ năng Tĩnh lặng: Kích hoạt vùng bình an giúp vô hiệu hóa mọi tiếng ồn và sát thương.
63,Đừng để những tiếc nuối quá khứ làm mù mắt con trước hiện tại.,Hôm nay là một trang sách trắng tinh đang chờ con viết.,Lưu Game Mới: Mở trang lưu game mới giúp xóa bỏ mọi lựa chọn sai lầm cũ.
64,Lắng nghe tiếng nói tĩnh lặng bên trong con ngay lúc này.,Trực giác luôn thì thầm câu trả lời chính xác nhất.,Âm thanh Trực giác: Tiếng chuông nhỏ vang lên báo hiệu hướng đi đúng.
65,Nơi duy nhất con có thể thay đổi cuộc đời là Ngay Bây Giờ.,"Đừng hứa hẹn ngày mai, hãy hành động ngay hôm nay.",Nhiệm vụ Tức thì: Hoàn thành nhiệm vụ trong vòng 5 phút để nhận thêm phần thưởng.
66,Mỗi bước đi đều là điểm đến nếu con đi trong tỉnh thức.,Không cần phải vội vã chạy đua với ai cả.,Tốc độ Tự do: Không có đếm ngược thời gian trong các nhiệm vụ khám phá.
67,Chấp nhận giây phút hiện tại như nó vốn là.,Kháng cự lại thực tại chỉ tạo ra sự đau khổ.,Cơ chế Chấp nhận: Chấp nhận kết quả thử thách giúp mở ra nhánh kịch bản mới.
68,"Hãy sống như thể hôm nay là ngày cuối cùng, và cũng là ngày đầu tiên.",Trân trọng từng trải nghiệm với sự ngạc nhiên của trẻ thơ.,Góc nhìn Trẻ thơ: Mở chế độ màu sắc rực rỡ cho thế giới game.
69,Thế giới bên ngoài chỉ là phản chiếu trạng thái nội tâm hiện tại.,"Muốn thế giới bình an, hãy làm cho tâm mình bình an trước.",Cơ chế Phản chiếu: Tâm trạng nhân vật thay đổi cảnh quan môi trường xung quanh.
70,Hãy chậm lại một chút để cảm nhận nhịp đập của sự sống.,Sự vội vã khiến con bỏ lỡ những điều kỳ diệu nhỏ bé.,Chế độ Chậm rãi: Bật chế độ đi bộ để phát hiện các báu vật ẩn dưới đất.
71,Mọi câu trả lời con tìm kiếm đều đang có sẵn trong khoảnh khắc này.,Hãy ngừng tìm kiếm bên ngoài và quay về bên trong.,Giao diện Tra cứu: Mở menu Tri thức để xem giải đáp cho mọi thắc mắc.
72,Đừng để suy nghĩ kéo con về quá khứ hay đẩy con tới tương lai.,Hãy là người quan sát tĩnh lặng những suy nghĩ trôi qua.,Mini-game Quan sát: Điểm tập trung tăng khi giữ tâm trí không bị xao nhãng.
73,Hiện tại chính là cổng vào của cõi vĩnh cửu.,"Khi con hiện diện trọn vẹn, thời gian dường như dừng lại.",Cõi Vĩnh cửu: Bước vào không gian đặc biệt nơi thể lực không bị hao mòn.
74,Mỗi vết thương trong quá khứ đều là một bài học đã hoàn thành.,Hãy cảm ơn nó và để nó lùi vào quá khứ.,Cơ chế Tái sinh: Chuyển hóa các đòn đánh cũ thành giáp bảo vệ hiện tại.
75,Hãy bắt đầu ngày mới bằng lòng biết ơn đơn sơ.,Biết ơn vì con lại có thêm một ngày để trải nghiệm cuộc sống.,Lời chúc Buổi sáng: Nhận buff may mắn mỗi khi bắt đầu một ngày mới trong game.
76,Con là đấng đồng sáng tạo nên cuộc đời của chính mình.,"Không có số phận cố định, con vẽ nên tương lai bằng từng lựa chọn.","Hệ thống Tự do: Game hoàn toàn không có kịch bản ép buộc, người chơi tự viết kết thúc."
77,Mô hình kiến tạo đúng đắn là: Là -> Làm -> Có.,"Hãy định hình bản thân (Là) trước, rồi hành động (Làm) sẽ tự nhiên dẫn đến kết quả (Có).",Cơ chế Be-Do-Have: Chọn thuộc tính tâm lý trước để mở khóa bộ kỹ năng tương ứng.
78,Suy nghĩ của con là những hạt giống sáng tạo mạnh mẽ.,Những gì con nghĩ nhiều nhất sẽ trở thành thực tại của con.,Cơ chế Ý tưởng: Chọn hướng suy nghĩ tích cực giúp thế giới sinh ra nhiều tài nguyên hơn.
79,Lời nói của con có quyền năng ra lệnh cho vũ trụ.,"Khi con tuyên bố 'Tôi là...', con đang kích hoạt sức mạnh sáng tạo.",Khẩu lệnh Quyền năng: Dùng phím tắt tuyên bố trạng thái để nhận hiệu ứng tức thì.
80,"Đừng xin điều con thiếu, hãy cảm ơn như thể con đã có nó.","Cầu xin khẳng định sự thiếu thốn, biết ơn khẳng định sự đủ đầy.",Cơ chế Cầu nguyện: Nút 'Cảm ơn' giúp nhân vật nhận được sự hỗ trợ bất ngờ.
81,Con hoàn toàn tự do lựa chọn phiên bản vĩ đại nhất của mình.,Không ai có quyền hạn chế ước mơ và tiềm năng của con.,Tạo nhân vật: Tự do tùy chỉnh ngoại hình và phẩm chất không giới hạn.
82,"Không có quyết định nào là sai, chỉ có những trải nghiệm khác nhau.",Mọi con đường đều mang đến những bài học quý giá.,Cây kịch bản: Mọi nhánh lựa chọn đều dẫn đến các nội dung chơi hấp dẫn.
83,Hãy chấm dứt lối sống vô ý thức như một nạn nhân.,"Con không phải là nạn nhân của hoàn cảnh, con là người chọn cách ứng xử.",Xóa bỏ Trạng thái Nạn nhân: Chọn nhận trách nhiệm giúp tăng 100% sức mạnh nội tại.
84,Những gì con chống cự sẽ tiếp tục tồn tại.,"Khi con kháng cự điều gì, con đang vô tình trao năng lượng cho nó.",Cơ chế Hòa giải: Ngừng chống cự giúp vô hiệu hóa các đòn tấn công của đối thủ.
85,"Tâm trí con là chiếc máy chiếu, thế giới là màn ảnh.","Muốn đổi phim trên màn ảnh, hãy đổi đĩa phim trong máy chiếu.",Cơ chế Đổi đĩa phim: Thay đổi góc nhìn giúp biến bản đồ u tăm thành đồng cỏ xanh.
86,Mỗi khoảnh khắc là cơ hội để con tự định nghĩa lại bản thân.,Con không bị ràng buộc bởi những gì con đã từng làm trong quá khứ.,Cơ chế Đột phá: Bất ngờ chuyển đổi hệ phái kỹ năng ngay trong trận đấu.
87,Sự thay đổi thế giới bắt đầu từ sự chuyển dịch bên trong con.,"Muốn thế giới hòa bình, hãy làm cho tâm mình bình an.",Tác động Diện rộng: Mức độ bình an của người chơi giúp xua tan sương mù toàn bản đồ.
88,Con không thể sáng tạo ra cái mà con đang chối bỏ.,Hãy chấp nhận tất cả rồi mới tự do chọn lựa điều tốt nhất.,Cơ chế Đón nhận: Thu thập cả vật phẩm hỏng để chế tạo thành công cụ cao cấp.
89,Hãy lắng nghe trái tim thay vì chỉ nghe theo lý trí phân tích.,Trái tim biết những điều mà lý trí chưa từng hiểu được.,La bàn Trái tim: Kim la bàn chỉ hướng về nhiệm vụ mang lại niềm vui lớn nhất.
90,Con không bao giờ có thể thua trong trò chơi cuộc đời này.,"Đích đến cuối cùng là sự trở về, và điều đó đã được đảm bảo.","Chế độ An toàn: Không bao giờ bị Game Over vĩnh viễn, luôn có cơ hội thử lại."
91,"Chân lý không phải là thứ cố định, nó là sự trải nghiệm sống động.",Hãy tự mình trải nghiệm thay vì chỉ tin vào lời người khác.,Thử nghiệm Tự do: Tự do kết hợp các nguyên liệu để sáng tạo công thức mới.
92,"Cuộc đời là sân chơi sáng tạo, không phải trường thi căng thẳng.",Hãy chơi hết mình với niềm vui và sự háo hức.,Nhạc nền Sân chơi: Nhạc rộn rã kích thích tinh thần khám phá.
93,"Khi con tuyên bố điều gì với niềm tin tuyệt đối, nó sẽ hiện hữu.",Sức mạnh của niềm tin có thể dời sông lấp núi.,Kỹ năng Niềm tin: Biến các cây cầu gãy thành đường đi vững chắc.
94,Hãy chịu trách nhiệm 100% cho cuộc đời của mình.,Đó là bước đầu tiên để lấy lại quyền năng làm chủ.,Thành tựu Làm chủ: Mở khóa danh hiệu 'Đấng Tự chủ' khi không đổ lỗi cho NPC.
95,"Con là tác giả cuốn sách cuộc đời mình, hãy viết nên câu chuyện đẹp.",Mỗi ngày là một trang sách mới đầy hứa hẹn.,Sổ tay Phiêu lưu: Tự do ghi chép và lưu lại những khoảnh khắc đáng nhớ.
96,"Đừng sống theo kỳ vọng của người khác, hãy sống chân thật với mình.","Con đến đây để làm con, không phải để làm bản sao của ai.",Lựa chọn Độc lập:Từ chối các yêu cầu vô lý của NPC để giữ vững định hướng cá nhân.
97,Mọi hoàn cảnh đều là vô hại cho đến khi con gán ý nghĩa cho nó.,Con có quyền chọn cách nhìn nhận mọi sự việc.,Cơ chế Đổi góc nhìn: Chuyển đổi ý nghĩa sự kiện từ 'Thất bại' sang 'Bài học'.
98,Sự sáng tạo thực sự bắt đầu khi con dám nghĩ khác đi.,Đừng ngại bước đi trên con đường chưa ai đi.,Con đường Ẩn: Khám phá các lối đi riêng không có trên bản đồ tiêu chuẩn.
99,Ý chí tự do là món quà thiêng liêng nhất con được ban tặng.,"Không ai, kể cả Thượng đế, ép buộc lựa chọn của con.",Lựa chọn Tuyệt đối: Có thể bỏ qua mọi lời khuyên của thần linh để tự đi đường riêng.
100,Hãy mỉm cười và tận hưởng từng bước đi trên hành trình này.,Trò chơi này được tạo ra là để con chung vui!,Biểu cảm Mỉm cười: Bấm nút mỉm cười để lan tỏa niềm vui cho tất cả sinh linh xung quanh.
101,Hãy nhớ rằng con luôn được nâng đỡ trong từng bước đi. (Thông điệp ngày 101),Nhận biết trọn vẹn từng suy nghĩ và hành động. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Kích hoạt trạng thái Quan Sát giúp phát hiện bẫy và bí mật.
102,"Sự bình an thật sự không đến từ bên ngoài, nó bắt đầu từ bên trong. (Thông điệp ngày 102)",Lời nói ra là mệnh lệnh gửi vào vũ trụ. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Lời tuyên bố tích cực gia tăng sức mạnh tấn công và phòng thủ.
103,"Đừng lo lắng về tương lai, hãy làm tốt việc của khoảnh khắc này. (Thông điệp ngày 103)",Biết ơn mở ra cánh cửa của sự đủ đầy. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Bấm nút 'Biết ơn' để nhận lượng tài nguyên ngẫu nhiên mỗi ngày.
104,Con là một biểu hiện tuyệt đẹp và độc bản của sự sống. (Thông điệp ngày 104),Tiếng nói nhỏ nhẹ bên trong luôn chỉ đúng hướng. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Bật La bàn Trực giác để hiển thị đường ngắn nhất tới mục tiêu.
105,Mọi rào cản chỉ là cơ hội để con rèn luyện sức mạnh nội tâm. (Thông điệp ngày 105),Ngừng dán nhãn đúng sai để tâm trí bình an. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Tắt phán xét giúp vô hiệu hóa các chiêu thức khiêu khích của kẻ địch.
106,Hãy đối xử nhẹ nhàng với bản thân khi gặp khó khăn. (Thông điệp ngày 106),Con là tác giả vẽ nên từng cảnh quay cuộc đời. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Tự do thay đổi màu sắc và thời tiết trong thế giới game.
107,Không có lỗi lầm nào không thể chuyển hóa thành bài học. (Thông điệp ngày 107),Một hành động tử tế nhỏ làm ấm cả thế giới. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Tặng quà cho người nghèo làm tăng điểm hào quang uy tín.
108,Hãy để tình yêu dẫn dắt mọi lời nói và việc làm hôm nay. (Thông điệp ngày 108),Thân xác đổi thay nhưng linh hồn sống mãi. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Tái sinh ngay tại điểm ngã gục mà không mất hành trang.
109,"Cuộc đời là một món quà, hãy mở nó ra với sự háo hức. (Thông điệp ngày 109)",Chấp nhận những gì đang là để chuyển hóa nó. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Đón nhận thử thách giúp nhân vật hồi phục thể lực tức thì.
110,"Hãy tin vào hành trình của riêng con, đừng so sánh với ai. (Thông điệp ngày 110)",Nụ cười xua tan mọi mỏi mệt và sương mù. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Bấm biểu cảm 'Cười' để giải trừ trạng thái u ủ cho cả đội.
111,Sự tĩnh lặng giúp con kết nối lại với sức mạnh sâu thẳm. (Thông điệp ngày 111),Nhận biết trọn vẹn từng suy nghĩ và hành động. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Kích hoạt trạng thái Quan Sát giúp phát hiện bẫy và bí mật.
112,Mọi câu trả lời con cần đều đã có sẵn trong tim con. (Thông điệp ngày 112),Lời nói ra là mệnh lệnh gửi vào vũ trụ. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Lời tuyên bố tích cực gia tăng sức mạnh tấn công và phòng thủ.
113,Hãy dũng cảm sống là chính mình mà không cần xin lỗi ai. (Thông điệp ngày 113),Biết ơn mở ra cánh cửa của sự đủ đầy. Hãy áp dụng sự tỉnh thức này vào ngày hôm nay.,Bấm nút 'Biết ơn' để nhận lượng tài nguyên ngẫu nhiên mỗi ngày.
