ID,Thông điệp,Ý nghĩa,Cơ chế game
11,Ta không cần bất cứ sự thờ phụng nào của con. Điều duy nhất Ta mong mỏi là con nhận ra sự vĩ đại bên trong chính mình.,Thượng đế không có cái tôi (ego) cần được vuốt ve bằng sự thờ lạy.,Cơ chế 'Giải Thoát Tín Ngưỡng': Loại bỏ các quest hiến tế hay thờ cúng thần linh.
12,Tâm trí con là một chiếc máy chiếu khổng lồ. Thế giới bên ngoài chỉ phản chiếu những gì con đang giữ kín bên trong.,Thế giới vật chất là tấm gương phản chiếu trung thực thế giới nội tâm của con.,"Cơ chế 'Máy Chiếu Nội Tâm': Bản đồ game thay đổi từ u tối, giông bão sang nắng ấm, thanh bình dựa trên chỉ số 'Bình an Nội tâm' của nhân vật."
13,Không có địa ngục hay sự trừng phạt đau khổ vô tận nào sau khi chết. Đó chỉ là những suy diễn sai lầm dựa trên sợ hãi.,Thượng đế không bao giờ trừng phạt các con của Ngài.,Cơ chế 'Không Địa Ngục': Trò chơi hoàn toàn loại bỏ các vùng đất trừng phạt.
14,Tất cả các điều kiện vật chất đều là nhất thời và luôn biến đổi. Con có thể định hình lại chúng bằng chính tư tưởng mới.,"Thế giới vật lý là thể lỏng, luôn biến động theo dòng chảy của ý thức.","Cơ chế 'Định Hình Vật Chất': Người chơi có thể dùng ý nghĩ để tạm thời hóa cứng nước thành băng, hoặc hóa mềm đá thành lối đi trong thời gian ngắn."
15,Con là một người mang thông điệp của Ta. Con được chọn để lan tỏa chân lý vĩ đại này bằng chính cuộc sống thường nhật.,Con không cần phải là một diễn giả vĩ đại để lan tỏa sự thật.,Cơ chế 'Sứ Giả Truyền Tin': Người chơi nhận được các phần thưởng danh giá khi hoàn thành một ngày game mà không gây ra bất kỳ xung đột nào.
16,"Không có gì con PHẢI làm, không có gì con cần CÓ, và không có gì con cần trở THÀNH. Hãy chỉ nhận ra con là ai.",Con vốn dĩ đã hoàn hảo và trọn vẹn ngay lúc này.,"Cơ chế 'Vô Bộ' (No-Mission Game): Cho phép người chơi hoàn thành game bằng cách 'không làm gì cả', chỉ dạo chơi và ngắm cảnh, mở khóa kết cục hòa bình."
17,Mục đích duy nhất của sự sống là kinh nghiệm cái vinh quang nhất cho con và cho tất cả mọi loài sinh mệnh.,"Sự sống tồn tại để cái đẹp, tình yêu và sự vĩ đại được hiển lộ và trải nghiệm một cách trọn vẹn nhất thông qua các sinh thể sống.","Cơ chế 'Hào Quang Vinh Quang': Khi người chơi giúp đỡ muôn loài, nhân vật phát ra hào quang rực rỡ giúp tăng cường sinh lực cho mọi sinh vật xung quanh."
18,"Linh hồn con là một dòng chảy sáng tạo bất tận, chưa từng bắt đầu và sẽ không bao giờ có điểm kết thúc.",Con là năng lượng vĩnh cửu.,"Cơ chế 'Dòng Chảy Bất Tận': Nhân vật tự động tích lũy điểm kinh nghiệm theo thời gian thực, ngay cả khi người chơi không thực hiện nhiệm vụ."
19,"Ta là cái cao và cái thấp, cái nóng và cái lạnh, cái tôn quý và cái bất kính. Ta là tất cả những gì hiện hữu.",Thượng đế không loại trừ bất cứ điều gì.,Cơ chế 'Cân Bằng Âm Dương': Người chơi phải giữ cho hai chỉ số Sáng và Tối của nhân vật luôn ở trạng thái cân bằng để kích hoạt sức mạnh tối thượng.
20,Mỗi khoảnh khắc là một cơ hội để con tự tái tạo mình trong phiên bản vĩ đại nhất của ý niệm cao cả nhất.,Quá khứ không định hình con.,Cơ chế 'Tái Sinh Tức Thời': Người chơi có thể thiết lập lại toàn bộ điểm kỹ năng (reset thuộc tính) bất cứ lúc nào ngay trong trận chiến để thay đổi lối chơi.
21,"Sự khoan dung không phải là phán xét ai đó sai rồi tha thứ, mà là nhận ra bản chất thiêng liêng đằng sau mọi vai diễn.",Mọi người trên thế gian đều đang đóng các vai diễn khác nhau trong trò chơi trần thế.,Cơ chế 'Nhìn Thấu Vai Diễn': Kỹ năng ẩn cho phép người chơi nhìn thấy 'màu sắc linh hồn nguyên bản' của đối phương đằng sau lớp vỏ bọc quái vật.
22,Không có nợ nghiệp báo theo nghĩa trừng phạt bắt buộc. Con hoàn toàn tự do lựa chọn nước đi mới mà không bị ràng buộc.,Vũ trụ không vận hành bằng sự trừng trị hay nợ nần nghiệp quả.,Cơ chế 'Tự Do Nghiệp Quả': Người chơi có thể xóa bỏ hoàn toàn các chỉ số bất lợi từ quyết định sai lầm trước đó bằng cách thực hiện một hành động tử tế mới.
23,Hãy chấm dứt lối sống vô ý thức như một nạn nhân của hoàn cảnh. Con chính là đấng đồng sáng tạo thực tại của mình.,"Mọi sự việc đến với cuộc đời con không phải là sự trừng phạt hay ngẫu nhiên, mà là cơ hội do linh hồn con đồng kiến tạo để trải nghiệm bản thân.",Cơ chế 'Làm Chủ Số Phận': Người chơi không thể đổ lỗi cho lỗi game hay NPC phản bội; game cung cấp các lựa chọn để tự chịu trách nhiệm và bẻ lái kịch bản.
24,"Khi con đứng trước ngã rẽ hay bối rối, hãy luôn tự hỏi mình câu hỏi tối thượng này: 'Tình yêu sẽ làm gì lúc này?'",Tình yêu vô điều kiện luôn là kim chỉ nam vạn năng cho mọi tình huống khó khăn.,"Cơ chế 'Kim Chỉ Nam Tình Yêu': Một nút bấm gợi ý đặc biệt trong game; khi nhấn vào, hệ thống sẽ hiển thị lựa chọn hội thoại mang tính bao dung nhất."
25,"Khi con chết đi, con sẽ đoàn tụ với những người thân yêu của mình nếu đó thực sự là mong muốn mạnh mẽ của linh hồn con.",Mối liên kết bằng tình yêu thương giữa các linh hồn là vĩnh cửu.,Cơ chế 'Cộng Hưởng Linh Hồn': Người chơi có thể triệu hồi linh hồn của các bạn đồng hành đã khuất để hỗ trợ trong các trận chiến cam go.
26,"Con là con của Thượng đế, một phần của Thượng đế và ngang hàng với Thượng đế trong quyền năng sáng tạo.",Con được tạo ra từ cùng một chất liệu năng lượng với Thượng đế.,"Cơ chế 'Kiến Tạo Thực Tại': Người chơi có thể tự do thay đổi cấu trúc bản đồ, tạo ra các lối đi mới bằng năng lượng ý chí của nhân vật."
27,Mọi hành động của con người đều được thúc đẩy bởi một trong hai cảm xúc gốc rễ: Tình Yêu hoặc Sợ Hãi.,"Mọi quyết định của con, từ công việc, tình cảm đến cách hành xử hàng ngày, suy cho cùng đều xuất phát từ lòng yêu thương hoặc nỗi sợ hãi mất mát, tổn thương.",Cơ chế 'Hệ Thống Lựa Chọn Gốc': Các quyết định trong hội thoại được phân loại rõ ràng dựa trên động cơ: Hành động từ Tình yêu hay Hành động từ Sợ hãi.
28,"Bánh Xe Vũ Trụ liên tục vận hành, đưa linh hồn từ trạng thái Biết sang Không Biết, rồi trở về Hiệp Nhất trong một vòng tuần hoàn vĩnh cửu.",Hành trình tiến hóa là một vòng xoáy trôn ốc đi lên bất tận.,Cơ chế 'Bánh Xe Vũ Trụ': Bản đồ game tự động xoay chuyển qua các chu kỳ thời gian và chiều kích không gian khác nhau để mở ra các thử thách mới.
29,"Khi con không còn nhìn thấy Ta ở ngoài con, mà tìm thấy Ta trong từng hơi thở, khi đó con đã giao hòa với Ta.",Thượng đế không ngự trị ở một thánh đường xa xôi nào.,"Cơ chế 'Hơi thở Tâm linh': Sử dụng microphone thực tế của người chơi; khi người chơi hít thở chậm và sâu, nhân vật trong game sẽ hồi phục thể lực."
30,Ảo ảnh về thời gian giúp linh hồn con khám phá và thưởng thức từng phần của sự vĩnh cửu một cách trọn vẹn nhất.,"Nếu mọi thứ xảy ra cùng một lúc, con sẽ bị quá tải nhận thức.",Cơ chế 'Slow-Motion Taste': Người chơi có thể kích hoạt chế độ quay chậm để thưởng thức các chi tiết đồ họa và tìm kiếm các kho báu ẩn.
31,Chỉ có Cái Một Duy Nhất là Chúng Ta. Không bao giờ có nhiều hơn một người ở đây cả.,Mọi linh hồn thực chất là những điểm nhìn khác nhau của một thực thể duy nhất.,"Cơ chế 'Đa Diện Nhân Vật': Người chơi có thể nhập vai vào bất kỳ NPC nào trong game, vì tất cả NPC thực chất đều là các mảnh hồn của nhân vật chính."
32,Không có kẻ thù nào ở ngoài kia cả. Mọi sự đối nghịch chỉ là cơ hội để con lựa chọn biểu hiện tình yêu vĩ đại của mình.,Thế giới bên ngoài đầy rẫy thử thách chỉ là sân khấu được thiết kế để con rèn luyện và chứng minh phẩm chất yêu thương thiêng liêng của mình.,Cơ chế 'Không Kẻ Thù': Người chơi đạt thành tựu tối cao của game khi hoàn thành toàn bộ cốt truyện mà không coi bất kỳ ai là kẻ thù cần tiêu diệt.
33,"Chữa lành thực chất là việc chấp nhận tất cả những gì đang hiện hữu, rồi lựa chọn phiên bản tốt đẹp nhất tiếp theo.",Kháng cự nỗi đau chỉ làm nỗi đau kéo dài.,"Cơ chế 'Chữa Lành Chấp Nhận': Khi nhân vật bị dính sát thương, việc kích hoạt trạng thái 'Chấp nhận' giúp chuyển hóa 50% sát thương thành lượng máu hồi phục."
34,"Những gì con chống cự sẽ tồn tại. Khi con kháng cự điều gì, con đang trực tiếp truyền năng lượng nuôi dưỡng cho nó.","Khi con cố gắng đấu tranh và ghét bỏ một điều gì đó, con đang tập trung tâm trí vào nó và vô tình hút nó về phía mình mạnh mẽ hơn.","Cơ chế 'Hóa Giải Kháng Cự': Khi quái vật tấn công, nếu người chơi không dùng khiên đỡ (kháng cự) mà dùng kỹ năng 'Né tránh mềm mại', năng lượng quái vật sẽ tự tiêu hao."
35,Hãy cười thật nhiều! Ta rất thích sự hài hước và cười cùng con trước những màn kịch lo âu mà con tự tạo ra.,Thượng đế có sự hài hước vĩ đại.,"Cơ chế 'Tiếng Cười Vũ Trụ': Một kỹ năng đặc biệt trong game; khi nhân vật cười vang, toàn bộ đồng đội xung quanh sẽ được giải phóng khỏi mọi hiệu ứng khống chế."
36,Ta chưa từng gửi đến cho con điều gì khác ngoài những thiên thần. Mọi người con gặp đều mang đến một món quà trải nghiệm.,"Ngay cả những người gây khó khăn cho con cũng chính là những 'thiên thần' đóng vai ác để giúp con rèn luyện sự bao dung, dũng cảm và thấu suốt.",Cơ chế 'Thiên Thần Nghịch Cảnh': Tất cả NPC phe địch sau khi bị đánh bại đều rơi ra các 'mảnh ghép tri thức' giúp người chơi tăng chỉ số thông tuệ.
37,"Khi ranh giới sinh tử khép lại, linh hồn con sẽ đối diện với câu hỏi linh thiêng từ Ta: 'Con có muốn ở lại trải nghiệm tiếp không?'","Sự chất vấn thiêng liêng ở ranh giới sinh tử không phải là sự phán xét tội lỗi, mà là lời mời gọi tự do lựa chọn hành trình tiếp theo của linh hồn con.","Cơ chế 'Divine Inquiry': Khi kết thúc một chương game, người chơi đối diện với Thượng đế để tự đánh giá hành trình và chọn độ khó cho chương tiếp theo."
38,"Thời gian không phải là một sợi dây kéo dài. Nó là một bánh xe tĩnh lặng, nơi con chọn phân vùng dữ liệu để trải nghiệm.",Vũ trụ giống như một chiếc đĩa CD-ROM chứa sẵn mọi kịch bản.,Cơ chế 'Nhảy Kênh Thời Gian': Người chơi có thể lựa chọn nhảy qua lại giữa các mốc thời gian khác nhau của cùng một bản đồ để thay đổi kết quả.
39,Con không thể sáng tạo ra cái mà con đang chối bỏ. Hãy chúc phúc cho cái sai để con có thể tự do chọn cái đúng.,"Khi con phán xét và ghét bỏ một điều gì đó, con bị trói buộc năng lượng vào nó.",Cơ chế 'Chúc Phúc Nghịch Cảnh': Người chơi chúc phúc cho kẻ địch thay vì tiêu diệt chúng; kẻ địch sẽ hóa thân thành đồng minh hoặc rời đi trong hòa bình.
40,Con là Thượng đế đang trải nghiệm chính mình trong hình hài tuyệt vời và độc bản mang tên con người.,Mỗi con người là một cách thức độc nhất vô nhị để Thượng đế tự chiêm ngưỡng sự huy hoàng của Ngài dưới dạng vật lý tương đối.,Cơ chế 'Độc Bản Tự Custom': Trò chơi không có các class nhân vật cố định.
41,"Học thuyết nhị nguyên cho thấy: không có bóng tối, con sẽ không bao giờ biết đến sự vĩ đại của ánh sáng bên trong mình.",Thế giới vật lý tương đối cần có các cực đối nghịch để trải nghiệm được diễn ra.,Cơ chế 'Hội Tụ Sáng Tối': Người chơi phải vượt qua các hang động tối tăm nhất để thu thập các hạt ánh sáng vĩnh cửu nâng cấp cho nhân vật.
42,"Khi con có ý nghĩ rõ ràng và vững chắc, hãy bắt đầu nói và hành động như thể nó đã là chân lý hiện hữu.","Sự nhất quán giữa Ý nghĩ, Lời nói và Hành động tạo ra lực hút mạnh mẽ nhất để hiện thực hóa mọi ước mơ của con.","Cơ chế 'Hiện Thực Hóa Ý Chí': Khi người chơi chọn một mục tiêu trên bản đồ và giữ vững ý chí tập trung, các lối đi ẩn sẽ tự động hiển lộ."
43,"Sự khác biệt duy nhất giữa Ta và con là Ta biết Ta là ai, còn con thì đang tạm quên điều đó.",Bản tính thần thánh luôn ẩn sâu trong con.,"Cơ chế 'Hồi Tưởng Thần Tính': Khi người chơi đạt trạng thái tập trung (thiền định), họ mở khóa tạm thời các kỹ năng tối thượng của Thượng đế."
44,"Mục đích duy nhất của linh hồn là hồi tưởng các con là ai, và nhắc nhở những người khác cùng hồi tưởng lại điều đó.",Hành trình cuộc đời là một chuyến đi đánh thức trí nhớ.,"Cơ chế 'Hồi Tưởng Đồng Thuận': Khi người chơi kích hoạt đền thờ cổ xưa, họ sẽ phát ra một sóng năng lượng nhắc nhở tất cả NPC xung quanh về bản thể thiêng liêng."
45,"Chân lý không phải là một hiện thực khách quan. Lập trường của con tạo ra nhận thức, và nhận thức kiến tạo nên chân lý.",Không có một chân lý tuyệt đối bên ngoài con.,Cơ chế 'Lăng Kính Đa Chiều': Người chơi có thể chuyển đổi lăng kính của các nhân vật khác nhau để nhìn thấy các lối đi ẩn và giải mã bí mật bản đồ.
46,"Khi con hiểu rằng mọi sự đều hoàn hảo theo cách của nó, con sẽ không còn phán xét thế giới mà bắt đầu yêu thương nó.",Mọi sự kiện xảy ra đều có lý do sâu xa của nó trong bức tranh tổng thể của vũ trụ.,Cơ chế 'Góc Nhìn Toàn Cảnh': Người chơi có thể kích hoạt tính năng 'Nhìn từ trên cao' để thấy sợi dây nhân quả liên kết các sự kiện trong game.
47,"Các sinh mệnh tiến hóa cao (HEBs) sống bằng ý thức Nhất thể: không có bạo lực, cạnh tranh hay phân biệt quốc gia, tôn giáo.",Các nền văn minh tiến bộ trong vũ trụ vận hành bằng sự hợp tác và thấu cảm.,"Cơ chế 'Vương Quốc Nhất Thể': Bản đồ của các sinh mệnh tiến hóa cao; nơi đây người chơi không cần dùng vũ khí, mọi giao dịch đều dựa trên sự chia sẻ."
48,Mô hình kiến tạo đúng đắn của vũ trụ là Be - Do - Have (Là - Làm - Có). Hãy bắt đầu từ trạng thái Hiện Hữu trước.,Con người thường nghĩ phải 'Có' tiền để 'Làm' việc lớn rồi mới 'Là' người hạnh phúc.,"Cơ chế 'Đảo Ngược Thăng Cấp': Nhân vật thăng cấp bằng cách duy trì trạng thái thiền định (Being), mở khóa các kỹ năng tương tác (Doing) để nhận trang bị (Having)."
49,"Cái chết không phải là một kết thúc đáng sợ, mà là một sự mở ra huy hoàng của nhận thức và sự trở về Nhà.","Cái chết chỉ đơn giản là hành động linh hồn cởi bỏ chiếc áo khoác vật lý nặng nề để quay về với trạng thái tự do, tràn ngập tình yêu thương ở cõi siêu hình.","Cơ chế 'Cổng Chuyển Giao': Khi vượt qua ranh giới sinh tử, nhân vật bước vào một không gian rực rỡ để tự do lựa chọn thử thách tiếp theo."
50,Sự chia rẽ là ảo tưởng lớn nhất của nhân loại. Nó là gốc rễ của mọi nỗi đau khổ và chiến tranh trên Trái Đất.,"Niềm tin sai lầm rằng chúng ta độc lập và tách biệt khỏi người khác khiến con người nảy sinh lòng tham, sự ích kỷ và sợ hãi.","Cơ chế 'Hàn Gắn Đồng Thuận': Nhiệm vụ chính của game không phải là tiêu diệt quái vật, mà là kết nối các bộ tộc đang xung đột lại với nhau."
51,"Đừng xin điều con thiếu, vì hành động cầu xin chỉ khẳng định con đang không có nó. Hãy cảm ơn như thể mọi sự đã hoàn tất.",Lời cầu nguyện mạnh mẽ nhất là lòng biết ơn trước.,"Cơ chế 'Cầu Nguyện Biết Ơn': Khi đến đền thờ, người chơi không 'xin' buff."
52,"Điều mà con làm cho bản thân, con cũng đang làm cho người khác. Và điều con làm cho người khác, con đang làm cho chính mình.",Sự phản chiếu hoàn hảo của vũ trụ: mỗi hành động gieo đi đều quay trở lại.,Cơ chế 'Vòng hồi chuyển': Mọi phép thuật hỗ trợ (buff) hoặc chữa trị gieo lên đồng đội đều được nhân đôi tác dụng lên chính người chơi.
53,"Vương quốc của Ta có rất nhiều dinh thự, và ngay cả Trái Đất này cũng chính là một phần của Thiên đường.",Thiên đường không phải là một địa danh xa xôi sau cái chết.,"Cơ chế 'Hóa Thân Thiên Đường': Khi người chơi đạt chỉ số bình an cao, cảnh quan game xung quanh sẽ biến đổi thành một khu vườn rực rỡ."
54,Sự lo âu chỉ là phản ứng của tâm trí trước ảo vọng thiếu thốn. Hãy hít thở sâu và nhận biết sự đủ đầy của vũ trụ.,Vũ trụ luôn tràn ngập nguồn sống và cơ hội.,"Cơ chế 'Xoa Dịu Lo Âu': Khi nhân vật bị dính hiệu ứng 'Lo âu' (giảm tốc độ, mờ màn hình), người chơi chỉ cần nhấn phím 'Hít thở' để thanh lọc trạng thái."
55,Không có luật lệ nào của Thượng đế ngoại trừ tự do ý chí tuyệt đối. Luật duy nhất của Thượng đế là không có luật nào cả.,Vũ trụ không vận hành bằng sự ép buộc hay phán xét.,Cơ chế 'Sandbox Tuyệt Đối': Trò chơi hoàn toàn không có tường vô hình hay rào cản cốt truyện.
56,"Sau cái chết, con sẽ có dịp nhìn lại cuộc đời mình một cách trọn vẹn, không có sự phán xét hay đau khổ, chỉ có lòng biết ơn.","Quá trình nhìn lại cuộc đời ở cõi sáng là để linh hồn tự rút ra bài học tiến hóa trong sự bao dung tuyệt đối của Thượng đế, không có sự trừng phạt.","Cơ chế 'Hồi Tưởng Cuộc Đời': Khi kết thúc màn chơi, game hiển thị một video tóm tắt các quyết định của người chơi dưới dạng một bức tranh nghệ thuật."
57,"Ta là tất cả: Alpha và Omega, khởi đầu và kết thúc, lên và xuống, trong và ngoài, tại đây và bây giờ.",Thượng đế là trường năng lượng vô hạn bao trùm mọi cực đối nghịch.,Cơ chế 'Đảo cực Nhất thể': Nhân vật có thể chuyển đổi linh hoạt giữa hai dạng năng lượng Ánh sáng và Bóng tối để giải các câu đố trong game.
58,Không một linh hồn nào rời bỏ thân xác vật lý (chết) vào một thời điểm hoặc theo một cách thức mà họ không tự lựa chọn.,"Ở cấp độ linh hồn sâu thẳm, cái chết luôn là một quyết định có ý thức của linh hồn khi đã hoàn thành hoặc muốn dừng lại trải nghiệm vật lý.",Cơ chế 'Ý Chí Linh Hồn': Cho phép người chơi tự quyết định thời điểm 'tái sinh' hoặc 'quay lại thế giới' để hoàn thành các quest dang dở.
59,Hãy vượt khỏi ranh giới của lý trí phân tích. Chỉ có con đường của trái tim mới dẫn con chạm đến chân lý vĩ đại.,Trí óc phân tích luôn dựa trên những dữ liệu cũ và nỗi sợ hãi từ quá khứ.,"Cơ chế 'Nhịp Đập Trái Tim': Hệ thống giải đố của game yêu cầu người chơi tắt hết các chỉ số phân tích trên màn hình, chỉ dựa vào âm thanh nhịp đập để tìm đường."
60,"HEBs không dạy trẻ em bằng sự rập khuôn, mà hướng dẫn chúng ghi nhớ 'cái vốn là như vậy' và 'cái hoạt động hiệu quả'.","Giáo dục tiến bộ tôn trọng bản tính tự nhiên của trẻ, khuyến khích chúng tự khám phá quy luật cuộc sống và hành xử theo sự thấu hiểu chân thực.","Cơ chế 'Giáo Dục Khám Phá': Người chơi hướng dẫn các đệ tử/NPC nhỏ bằng cách cho họ tự do thử nghiệm giải pháp, mở khóa các kỹ năng sáng tạo độc lạ."
61,"Khi con sợ hãi, con đang chối bỏ Ta và chối bỏ chính bản thể rực rỡ của mình.",Sợ hãi là ảo tưởng rằng con bị tách biệt và không được vũ trụ bảo bọc.,"Cơ chế 'Thanh Tẩy Áo Ảnh': Khi dẫm vào vùng sương mù 'Sợ hãi', người chơi kích hoạt kỹ năng 'Niệm chú Thần tính' để xua tan sương mù."
62,"Hành trình này là vô hạn, trò chơi vĩnh cửu này không bao giờ có kết thúc, bởi vì sự sống chính là Ta và chính là Con.",Không có điểm dừng chân cuối cùng nào khiến con phải vội vã.,"Cơ chế 'Vòng Lặp Vĩnh Cửu': Sau khi phá đảo game, người chơi bước vào chế độ New Game+ với toàn bộ ký ức được giữ lại để tiếp tục dạo chơi tự do."
63,"Những bậc thầy giác ngộ là những người luôn chọn lựa Tình yêu trong mọi khoảnh khắc, ngay cả khi đối mặt với cái chết.",Sự làm chủ tâm thức tối cao là khi con chọn phản hồi bằng tình yêu thương ngay cả trước những nghịch cảnh hay mối đe dọa lớn nhất.,Cơ chế 'Bậc Thầy Giác Ngộ': Nhân vật đạt trạng thái vô địch tạm thời khi người chơi liên tục chọn các hành động từ Tình yêu trong trận chiến.
64,Cảm xúc cao cả nhất mà linh hồn con liên tục tìm kiếm để trải nghiệm chính là Tình yêu tuyệt đối không điều kiện.,"Linh hồn con người khao khát được trải nghiệm trạng thái yêu thương không ràng buộc, không đòi hỏi đáp trả — trạng thái nguyên bản của Thượng đế.",Cơ chế 'Tình Yêu Vô Điều Kiện': Tăng tối đa chỉ số liên kết với các NPC khi người chơi giúp đỡ họ mà không nhận phần thưởng (vàng/trang bị).
65,Hãy tha thứ cho bản thân mình trước hết. Sự tự buộc tội chính là rào cản ngăn con cảm nhận tình yêu của Ta.,Sự tự dằn vặt và cảm giác tội lỗi giữ chân con trong tần số năng lượng thấp của sợ hãi.,Cơ chế 'Giải Thoát Tội Lỗi': Nhân vật giải phóng một lượng lớn năng lượng bị khóa khi người chơi thực hiện nhiệm vụ 'Hòa giải với bản ngã quá khứ'.
66,Thế giới tương đối là một món quà vĩ đại Ta tự hiến cho mình để có thể kinh nghiệm sự huy hoàng của cõi Tuyệt đối.,"Thượng đế tạo ra vũ trụ vật lý với các cực đối nghịch để có thể trực tiếp trải nghiệm và cảm nhận những khái niệm trừu tượng như lòng bao dung, tình yêu.",Cơ chế 'Sân Khấu Tương Đối': Người chơi có thể thay đổi các thuộc tính môi trường để trải nghiệm cùng một thử thách dưới các góc độ khác nhau.
67,Sự tức giận chỉ là một biểu hiện méo mó của nỗi sợ hãi bên dưới. Hãy chữa lành nó bằng lòng trắc ẩn và sự thấu hiểu.,"Khi ai đó nổi giận với con, họ thực chất đang lo sợ bị tổn thương hoặc mất kiểm soát.","Cơ chế 'Thấu Cảm Cơn Giận': Khi đối đầu với NPC đang giận dữ, người chơi chọn 'Lắng nghe nỗi sợ' để hóa giải cơn giận của họ mà không cần chiến đấu."
68,Nỗi nhớ tiếc quá khứ và lo lắng về tương lai chỉ làm hao mòn năng lượng hiện tại của con. Hãy neo mình vào cái Bây Giờ.,Sự rò rỉ năng lượng lớn nhất của con người là sống trong những ảo ảnh không tồn tại.,Cơ chế 'Hồi Phục Hiện Tại': Nhân vật tự động được tăng tốc độ hồi phục năng lượng khi đứng yên và không thực hiện bất kỳ hành động tấn công nào.
69,"Thời gian tuyến tính chỉ là ảo ảnh của trí óc. Quá khứ, hiện tại và tương lai đều đang tồn tại đồng thời ngay Bây Giờ.",Thời gian không phải là một dòng sông chảy một chiều.,Cơ chế 'Khoảnh Khắc Hiện Tại': Người chơi có khả năng ngưng đọng thời gian xung quanh để tập trung giải quyết các tình huống khẩn cấp.
70,"HEBs luôn giữ trình độ công nghệ song hành tương thích với nhận thức vũ trụ, giúp họ làm chủ năng lượng sạch bảo vệ môi trường.",Sự tiến bộ khoa học đích thực phải phục vụ cho sự sống và bảo vệ môi trường.,Cơ chế 'Công Nghệ Xanh': Người chơi chỉ có thể chế tạo các thiết bị công nghệ cao khi chỉ số 'Đạo đức Môi trường' của họ đạt mức an toàn tối đa.
